Provinsi,Tahun,Bulan,Kasus Aktif,Simpanan,- Giro,- Tabungan,- Simpanan Berjangka,Pinjaman yang diberikan,- Modal Kerja,- Investasi,- Konsumsi,Kredit UMKM,- Mikro,- Kecil,- Menengah
Bali,2020,4,2118,108465251.0,13929804.0,51276092.0,43259356.0,103314353.0,32967576.0,34189901.0,36156876.0,38723606.0,8444482.0,15000649.0,15278476.0
Bali,2020,5,3232,106928472.0,12877022.0,50489379.0,43562070.0,113922313.0,38437076.0,35371599.0,40113638.0,38364804.0,8341527.0,14731092.0,15292186.0
Bali,2020,6,10178,106319861.0,13067021.0,49914454.0,43338387.0,114304316.0,39178376.0,35170045.0,39955896.0,38324548.0,8245963.0,14725291.0,15353293.0
Bali,2020,7,22564,105873506.0,13028959.0,49483226.0,43361322.0,115279987.0,39728478.0,35592727.0,39958781.0,38505090.0,8134527.0,14744531.0,15626032.0
Bali,2020,8,15279,105427151.0,12990896.0,49051998.0,43384257.0,115398920.0,40005350.0,35545079.0,39848491.0,38874446.0,8054355.0,14877059.0,15943032.0
Bali,2020,9,36112,105252871.0,12857594.0,49139984.0,43255292.0,115269727.0,39624789.0,35865109.0,39779829.0,39022109.0,7975333.0,15068777.0,15977999.0
Bali,2021,4,45609,105587537.0,12571396.0,49851652.0,43164490.0,114576566.0,39144879.0,36715764.0,38715924.0,40007451.0,7367415.0,16095520.0,16544517.0
Bali,2021,5,30378,105547656.0,12284147.0,50238158.0,43025351.0,114692134.0,39137307.0,36991148.0,38563679.0,40112377.0,7396403.0,16453542.0,16262432.0
Bali,2021,6,21999,108062863.0,13588808.0,51506133.0,42967922.0,114809125.0,39133237.0,37400142.0,38275746.0,40690580.0,7450740.0,16843689.0,16396150.0
Bali,2021,7,201075,106966915.0,12622620.0,51892752.0,42451543.0,113155386.0,37552905.0,37437054.0,38165428.0,40482248.0,7457012.0,17038874.0,15986363.0
Bali,2021,8,336711,105607342.0,11886268.0,51363045.0,42358029.0,113017371.0,37688157.0,37391399.0,37937815.0,40657669.0,7524434.0,17314721.0,15818513.0
Bali,2021,9,96274,107200846.0,13016867.0,50961404.0,43222575.0,114652099.0,40414795.0,36371178.0,37866126.0,41504991.0,7638736.0,17775602.0,16090653.0
Banten,2020,4,7268,212156922.0,44612842.0,78067754.0,89476326.0,345666100.0,149048949.0,79128233.0,117488918.0,47923894.0,8179812.0,11978137.0,27765946.0
